block_height,block_index,total,fees,size,gas_limit,gas_used,gas_price,gas_tip_cap,gas_fee_cap,confirmed,received,ver,double_spend,vin_sz,vout_sz,confirmations,confidence,Label
7513642,197,2.00E+16,1.47E+14,110,21000,21000,7000000000,7000000000,7000000000,1554505483,1554505473,0,0,1,1,7275760,1,1
6219206,22,9.90E+16,4.83E+14,110,21000,21000,23000000000,23000000000,23000000000,1535283267,1535283267,0,0,1,1,8563811,1,1
6237674,329,6.77E+17,6.62E+13,112,50000,21000,3150000000,3150000000,3150000000,1535553179,1535553162,0,0,1,1,8545344,1,1
6240888,66,7.76E+17,4.83E+14,110,21000,21000,23000000000,23000000000,23000000000,1535600923,1535600915,0,0,1,1,8542130,1,1
6285142,108,6.00E+13,2.10E+13,107,25200,21000,1000000000,1000000000,1000000000,1536241999,1536241999,0,0,1,1,8497876,1,1
6342414,172,3.35E+15,8.40E+13,108,21000,21000,4000000000,4000000000,4000000000,1537067608,1537067587,0,0,1,1,8447172,1,1
6349658,14,7.00E+16,4.83E+14,109,21000,21000,23000000000,23000000000,23000000000,1537169885,1537169863,0,0,1,1,8439928,1,1
6349668,149,3.00E+13,2.47E+14,108,70186,61791,4000000000,4000000000,4000000000,1537170016,1537170004,0,0,1,1,8439918,1,1
6349696,225,3.00E+13,8.40E+13,107,21000,21000,4000000000,4000000000,4000000000,1537170378,1537170374,0,0,1,1,8439890,1,1
6349702,285,3.00E+13,1.05E+14,108,21000,21000,5000000000,5000000000,5000000000,1537170461,1537170436,0,0,1,1,8439884,1,1
6349709,482,3.00E+13,3.09E+14,109,70186,61791,5000000000,5000000000,5000000000,1537170565,1537170553,0,0,1,1,8439877,1,1
6349776,148,1.00E+16,1.39E+14,109,32008,21339,6500000000,6500000000,6500000000,1537171622,1537171622,0,1,1,1,8439810,1,1
6349882,217,1.00E+14,8.54E+13,107,21339,21339,4000000000,4000000000,4000000000,1537172898,1537172646,0,1,1,1,8439704,1,1
6361080,71,4.45E+16,1.47E+14,109,21000,21000,7000000000,7000000000,7000000000,1537332630,1537331354,0,0,1,1,8428507,1,1
6261713,196,1.08E+18,9.51E+13,110,60000,21000,4528125000,4528125000,4528125000,1535903057,1535902990,0,0,1,1,8527425,1,1
6265381,242,9.90E+17,8.40E+13,109,25200,21000,4000000000,4000000000,4000000000,1535956972,1535956961,0,0,1,1,8523758,1,1
6268139,253,2.13E+18,8.61E+13,109,60000,21000,4100000000,4100000000,4100000000,1535996782,1535996764,0,0,1,1,8521000,1,1
6268636,203,1.00E+17,8.40E+13,109,25200,21000,4000000000,4000000000,4000000000,1536003793,1536003791,0,0,1,1,8520503,1,1
6268715,274,7.00E+17,8.40E+13,109,25200,21000,4000000000,4000000000,4000000000,1536004825,1536004790,0,0,1,1,8520424,1,1
6269181,320,7.54E+18,2.10E+14,110,60000,21000,10000000000,10000000000,10000000000,1536012114,1536012026,0,1,1,1,8519958,1,1
6269401,126,1.00E+17,3.15E+14,110,60000,21000,15000000000,15000000000,15000000000,1536015265,1536015229,0,0,1,1,8519738,1,1
6269619,207,9.00E+17,4.20E+14,110,60000,21000,20000000000,20000000000,20000000000,1536018514,1536018502,0,0,1,1,8519521,1,1
6270787,27,1.00E+18,1.05E+14,110,60000,21000,5000000000,5000000000,5000000000,1536035170,1536035135,0,0,1,1,8518354,1,1
6270800,103,2.55E+18,1.05E+14,110,60000,21000,5000000000,5000000000,5000000000,1536035405,1536035386,0,0,1,1,8518341,1,1
6271380,164,2.00E+17,8.40E+13,109,60000,21000,4000000000,4000000000,4000000000,1536044249,1536044230,0,0,1,1,8517761,1,1
6271569,89,6.90E+17,7.35E+13,109,60000,21000,3500000000,3500000000,3500000000,1536046858,1536046858,0,0,1,1,8517572,1,1
6271624,86,1.01E+18,8.40E+13,109,60000,21000,4000000000,4000000000,4000000000,1536047727,1536047724,0,0,1,1,8517518,1,1
6273438,206,1.00E+18,6.30E+13,109,60000,21000,3000000000,3000000000,3000000000,1536073298,1536073275,0,0,1,1,8515704,1,1
6273652,151,1.00E+18,8.40E+13,109,25200,21000,4000000000,4000000000,4000000000,1536076372,1536076370,0,0,1,1,8515490,1,1
6275269,176,9.90E+17,8.40E+13,109,60000,21000,4000000000,4000000000,4000000000,1536099954,1536100170,0,0,1,1,8513873,1,1
6276223,105,2.15E+19,1.47E+14,111,60000,21000,7011718750,7011718750,7011718750,1536113990,1536113987,0,0,1,1,8512919,1,1
6276229,169,1.00E+18,1.05E+14,110,60000,21000,5000000000,5000000000,5000000000,1536114064,1536114058,0,0,1,1,8512913,1,1
6276480,235,9.91E+17,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536117780,1536117744,0,0,1,1,8512662,1,1
6276653,293,2.97E+17,9.45E+13,110,60000,21000,4500000000,4500000000,4500000000,1536120264,1536120259,0,0,1,1,8512489,1,1
6276798,220,1.18E+18,1.05E+14,110,60000,21000,5000000000,5000000000,5000000000,1536122377,1536122350,0,0,1,1,8512344,1,1
6277220,13,2.00E+17,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1536128160,1536128153,0,0,1,1,8511922,1,1
6277369,11,1.00E+18,8.61E+14,110,21000,21000,41000000000,41000000000,41000000000,1536130104,1536130095,0,0,1,1,8511773,1,1
6277874,65,5.16E+17,1.26E+14,110,60000,21000,6000000000,6000000000,6000000000,1536137107,1536137104,0,0,1,1,8511268,1,1
6279128,280,5.55E+18,1.26E+14,109,60000,21000,6000000000,6000000000,6000000000,1536156156,1536156141,0,0,1,1,8510014,1,1
6280438,99,1.00E+17,1.32E+14,110,25200,21000,6298451140,6298451140,6298451140,1536174973,1536174968,0,0,1,1,8508704,1,1
6280491,87,1.80E+18,8.99E+13,109,25200,21000,4281250000,4281250000,4281250000,1536175744,1536175705,0,0,1,1,8508651,1,1
6280628,240,1.00E+17,1.29E+14,110,60000,21000,6160000000,6160000000,6160000000,1536177611,1536177601,0,0,1,1,8508514,1,1
6280654,195,1.93E+18,1.29E+14,110,60000,21000,6160000000,6160000000,6160000000,1536178025,1536178018,0,0,1,1,8508488,1,1
6282114,63,1.26E+18,2.31E+14,110,60000,21000,11000000000,11000000000,11000000000,1536198817,1536198805,0,0,1,1,8507028,1,1
6282195,65,7.85E+16,6.31E+14,110,25200,21000,30062500000,30062500000,30062500000,1536200085,1536200074,0,0,1,1,8506947,1,1
6282223,91,7.04E+17,5.13E+14,110,25200,21000,24437500000,24437500000,24437500000,1536200481,1536200447,0,0,1,1,8506919,1,1
6282244,155,7.00E+18,2.31E+14,110,60000,21000,11000000000,11000000000,11000000000,1536200808,1536200761,0,0,1,1,8506898,1,1
6282491,89,2.00E+17,2.10E+14,110,60000,21000,10000000000,10000000000,10000000000,1536204464,1536204456,0,0,1,1,8506651,1,1
6282581,115,2.50E+18,2.10E+14,110,60000,21000,10000000000,10000000000,10000000000,1536205727,1536205724,0,0,1,1,8506561,1,1
